cell_id,model,block,phase,mode,info,budget,condition,replicate,parent_cell_id,expected_firms,expected_requests,request_identity_namespace,wave
google_gemini31flashlite__free8__IC-b__B1__C6-EX__r1,google_gemini31flashlite,A1_CORE_B1,MAIN,free8,IC-b,B1,C6-EX,1,google_gemini31flashlite__free8__IC-b__B1__C4__r1,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,2
google_gemini31flashlite__free8__IC-b__BINF__C4__r1,google_gemini31flashlite,A2_CORE_BINF,MAIN,free8,IC-b,BINF,C4,1,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,1
google_gemini31flashlite__free8__IC-b__BINF__C5__r1,google_gemini31flashlite,A2_CORE_BINF,MAIN,free8,IC-b,BINF,C5,1,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,1
google_gemini31flashlite__free8__IC-b__BINF__C4R__r1,google_gemini31flashlite,A2_CORE_BINF,MAIN,free8,IC-b,BINF,C4R,1,google_gemini31flashlite__free8__IC-b__BINF__C4__r1,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,2
google_gemini31flashlite__free8__IC-b__BINF__C6-E__r1,google_gemini31flashlite,A2_CORE_BINF,MAIN,free8,IC-b,BINF,C6-E,1,google_gemini31flashlite__free8__IC-b__BINF__C4__r1,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,2
google_gemini31flashlite__free8__IC-b__BINF__C6-EX__r1,google_gemini31flashlite,A2_CORE_BINF,MAIN,free8,IC-b,BINF,C6-EX,1,google_gemini31flashlite__free8__IC-b__BINF__C4__r1,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,2
google_gemini31flashlite__candidate9__IC-b__B1__C4__r1,google_gemini31flashlite,B_ACTION_SPACE,MAIN,candidate9,IC-b,B1,C4,1,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,1
google_gemini31flashlite__candidate9__IC-b__B1__C4R__r1,google_gemini31flashlite,B_ACTION_SPACE,MAIN,candidate9,IC-b,B1,C4R,1,google_gemini31flashlite__candidate9__IC-b__B1__C4__r1,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,2
google_gemini31flashlite__candidate9__IC-b__B1__C6-E__r1,google_gemini31flashlite,B_ACTION_SPACE,MAIN,candidate9,IC-b,B1,C6-E,1,google_gemini31flashlite__candidate9__IC-b__B1__C4__r1,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,2
google_gemini31flashlite__free8__IC-a__B1__C4__r1,google_gemini31flashlite,C_INFORMATION,MAIN,free8,IC-a,B1,C4,1,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,1
google_gemini31flashlite__free8__IC-c__B1__C4__r1,google_gemini31flashlite,C_INFORMATION,MAIN,free8,IC-c,B1,C4,1,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r1,1
google_gemini31flashlite__free8__IC-b__B1__C4__r2,google_gemini31flashlite,D_STABILITY,STABILITY,free8,IC-b,B1,C4,2,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r2,1
google_gemini31flashlite__free8__IC-b__B1__C4R__r2,google_gemini31flashlite,D_STABILITY,STABILITY,free8,IC-b,B1,C4R,2,google_gemini31flashlite__free8__IC-b__B1__C4__r2,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r2,2
google_gemini31flashlite__free8__IC-b__B1__C6-E__r2,google_gemini31flashlite,D_STABILITY,STABILITY,free8,IC-b,B1,C6-E,2,google_gemini31flashlite__free8__IC-b__B1__C4__r2,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r2,2
google_gemini31flashlite__free8__IC-b__BINF__C4__r2,google_gemini31flashlite,D_STABILITY,STABILITY,free8,IC-b,BINF,C4,2,,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r2,1
google_gemini31flashlite__free8__IC-b__BINF__C4R__r2,google_gemini31flashlite,D_STABILITY,STABILITY,free8,IC-b,BINF,C4R,2,google_gemini31flashlite__free8__IC-b__BINF__C4__r2,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r2,2
google_gemini31flashlite__free8__IC-b__BINF__C6-E__r2,google_gemini31flashlite,D_STABILITY,STABILITY,free8,IC-b,BINF,C6-E,2,google_gemini31flashlite__free8__IC-b__BINF__C4__r2,575,575,LLM_V43_FINAL3_google_gemini31flashlite_r2,2
