field_order,field_key,type,visible_in,unit,year_rule,formula,canonical_accounts,denominator_rule,missing_rule,serialization,english_definition,source_binding,notes
"15","derived__long_debt_to_total_debt","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(current_portion_long_debt+long_term_debt,interest_bearing_total_debt)","current_portion_long_debt|long_term_debt|short_term_debt|bonds","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Current portion of long-term debt plus noncurrent long-term borrowings, divided by interest-bearing total debt.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","interest_bearing_total_debt=short_term_debt+current_portion_long_debt+long_term_debt+bonds; all four required"
"16","derived__bond_to_total_debt","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(bonds,interest_bearing_total_debt)","bonds|short_term_debt|current_portion_long_debt|long_term_debt","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Bonds divided by interest-bearing total debt.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","interest_bearing_total_debt=short_term_debt+current_portion_long_debt+long_term_debt+bonds; all four required"
"17","derived__inventory_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(inventory,revenue)","inventory|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Inventory divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"18","derived__receivables_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(receivables,revenue)","receivables|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Trade receivables divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"19","derived__payables_to_revenue","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","base fiscal year t=2024; pilot policy t=2023","safe_ratio(payables,revenue)","payables|revenue","finite and strictly positive; all summands must be observed finite","null if any required account nonfinite/missing or denominator<=0; never impute or clip","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Trade payables divided by revenue.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production",""
"20","delta_1y__derived__operating_margin","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","same firm exact t=2024 minus t-1=2023; pilot t=2023 minus2022","derived__operating_margin(firm,t)-derived__operating_margin(firm,t-1)","operating_income|revenue","apply component ratio rule separately at each year","null if either exact-year ratio missing/nonfinite; no nearest-year or future fill","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Current-year operating margin minus its previous-fiscal-year value; an additive difference, not relative growth.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","compute difference from unrounded float64 ratios, then serialize once"
"21","delta_1y__derived__debt_to_assets","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","same firm exact t=2024 minus t-1=2023; pilot t=2023 minus2022","derived__debt_to_assets(firm,t)-derived__debt_to_assets(firm,t-1)","total_liabilities|total_assets","apply component ratio rule separately at each year","null if either exact-year ratio missing/nonfinite; no nearest-year or future fill","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Current-year debt to assets minus its previous-fiscal-year value; an additive difference, not relative growth.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","compute difference from unrounded float64 ratios, then serialize once"
"22","delta_1y__derived__current_ratio","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","same firm exact t=2024 minus t-1=2023; pilot t=2023 minus2022","derived__current_ratio(firm,t)-derived__current_ratio(firm,t-1)","current_assets|current_liabilities","apply component ratio rule separately at each year","null if either exact-year ratio missing/nonfinite; no nearest-year or future fill","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Current-year current ratio minus its previous-fiscal-year value; an additive difference, not relative growth.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","compute difference from unrounded float64 ratios, then serialize once"
"23","delta_1y__derived__roa_proxy","number_or_null","IC-a|IC-b|IC-c","ratio; 0.01 means one percentage point","same firm exact t=2024 minus t-1=2023; pilot t=2023 minus2022","derived__roa_proxy(firm,t)-derived__roa_proxy(firm,t-1)","net_income|total_assets","apply component ratio rule separately at each year","null if either exact-year ratio missing/nonfinite; no nearest-year or future fill","finite float64 -> 10 significant decimal digits; -0 -> 0; JSON number or null","Current-year roa proxy minus its previous-fiscal-year value; an additive difference, not relative growth.","V4.3 canonical account registry; actual source-column mapping and statement basis frozen before production","compute difference from unrounded float64 ratios, then serialize once"
"24","fiscal_year","integer","IC-a|IC-b|IC-c","Gregorian fiscal-year label","2024 production;2023 pilot policy","canonical fiscal_year","","NA","missing or noninteger blocks freeze","JSON integer","Fiscal year of the supplied financial state.","frozen firm-year cohort manifest","do not infer real-time publication availability"
"25","log_assets","number_or_null","IC-a|IC-b|IC-c","signed natural log in frozen canonical currency units","base fiscal year","sign(total_assets)*ln(1+abs(total_assets))","total_assets","NA","null if total_assets missing/nonfinite","finite float64 -> 10 significant decimal digits; -0 ->0; JSON number or null","Signed natural logarithm of one plus absolute total assets, calculated in {{CANONICAL_CURRENCY_UNIT_ENGLISH}}.","V4.3 canonical total_assets and verified source currency-unit manifest","unit is mandatory external binding; do not assume KRW/won/thousand/million"
"26","market","string","IC-a|IC-b|IC-c","frozen market label","base-year source metadata","frozen market-code-to-label mapping","","NA","UNKNOWN if missing/unmapped; preserve original source in local audit","JSON UTF-8 string; no manual per-condition translation","The firm's market classification in the supplied source; UNKNOWN means unavailable.","canonical metadata plus frozen label dictionary","no ticker or trading price"
"27","industry_class","string","IC-b|IC-c","frozen industry label","base-year source metadata","frozen canonical industry-code-to-label mapping","","NA","UNKNOWN if missing/unmapped; preserve original source in local audit","JSON UTF-8 string; no manual per-condition translation","The firm's industry classification in the supplied source; UNKNOWN means unavailable.","canonical metadata plus frozen label dictionary","one industry field only; not sector_7 plus industry duplicates"
"28","firm_name","string","IC-c","frozen company name","name associated with base firm-year manifest","frozen canonical firm_name","","NA","missing/empty blocks IC-c and FULL freeze; no post-generation firm exclusion","JSON UTF-8 string; canonical source name without added alias/ticker/ID","The company's name; do not add remembered company-specific facts to the supplied evidence.","canonical name-to-firm identity manifest","probe additionally sees name and statement-basis target metadata; numeric financial values withheld"
